algorithm,iteration,gap,record_gap,time_s
IRLS,349,7.200600e-08,7.200600e-08,1.442208e-02
IRLS,350,7.143899e-08,7.143899e-08,1.446333e-02
IRLS,351,7.087787e-08,7.087787e-08,1.450575e-02
IRLS,352,7.032258e-08,7.032258e-08,1.454417e-02
IRLS,353,6.977303e-08,6.977303e-08,1.458975e-02
IRLS,354,6.922916e-08,6.922916e-08,1.463175e-02
IRLS,355,6.869087e-08,6.869087e-08,1.467433e-02
IRLS,356,6.815812e-08,6.815812e-08,1.471158e-02
IRLS,357,6.763081e-08,6.763081e-08,1.476375e-02
IRLS,358,6.710888e-08,6.710888e-08,1.480596e-02
IRLS,359,6.659226e-08,6.659226e-08,1.485417e-02
IRLS,360,6.608089e-08,6.608089e-08,1.489688e-02
IRLS,361,6.557469e-08,6.557469e-08,1.493463e-02
IRLS,362,6.507360e-08,6.507360e-08,1.497688e-02
IRLS,363,6.457755e-08,6.457755e-08,1.501979e-02
IRLS,364,6.408648e-08,6.408648e-08,1.506004e-02
IRLS,365,6.360032e-08,6.360032e-08,1.510050e-02
IRLS,366,6.311901e-08,6.311901e-08,1.514238e-02
IRLS,367,6.264250e-08,6.264250e-08,1.518408e-02
IRLS,368,6.217071e-08,6.217071e-08,1.522496e-02
IRLS,369,6.170360e-08,6.170360e-08,1.526525e-02
IRLS,370,6.124109e-08,6.124109e-08,1.530737e-02
IRLS,371,6.078314e-08,6.078314e-08,1.534967e-02
IRLS,372,6.032968e-08,6.032968e-08,1.539042e-02
IRLS,373,5.988066e-08,5.988066e-08,1.543075e-02
IRLS,374,5.943603e-08,5.943603e-08,1.547300e-02
IRLS,375,5.899572e-08,5.899572e-08,1.551471e-02
IRLS,376,5.855969e-08,5.855969e-08,1.555529e-02
IRLS,377,5.812788e-08,5.812788e-08,1.559608e-02
IRLS,378,5.770023e-08,5.770023e-08,1.563800e-02
IRLS,379,5.727671e-08,5.727671e-08,1.568079e-02
IRLS,380,5.685725e-08,5.685725e-08,1.572117e-02
IRLS,381,5.644181e-08,5.644181e-08,1.576167e-02
IRLS,382,5.603034e-08,5.603034e-08,1.580379e-02
IRLS,383,5.562278e-08,5.562278e-08,1.584563e-02
