start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
cold,0.01,0.3,1.0,0.04574394495906652,2.4756201463027594e-05,6,8000
cold,0.05,0.3,5.0,0.22871972479533265,2.530638005282526e-05,7,8000
cold,0.5,0.8,0.5,2.2871972479533262,3.058040839842846e-05,48,8000
cold,1.0,0.7,1.0,4.5743944959066525,3.375300586472285e-05,32,8000
cold,0.05,0.7,0.5,0.22871972479533265,3.517580170298018e-05,24,8000
cold,0.05,0.8,0.5,0.22871972479533265,3.8047943168528775e-05,36,8000
cold,1.0,0.8,0.5,4.5743944959066525,4.694613354438992e-05,49,8000
cold,0.5,0.7,0.5,2.2871972479533262,5.565164444010229e-05,29,8000
cold,0.1,0.3,10.0,0.4574394495906653,5.6668739681464686e-05,7,8000
cold,1.0,0.3,5.0,4.5743944959066525,5.9506368749406846e-05,9,8000
cold,0.5,0.8,1.0,2.2871972479533262,6.045057752945837e-05,45,8000
cold,1.0,0.5,1.0,4.5743944959066525,6.231928892375116e-05,16,8000
cold,0.5,0.7,1.0,2.2871972479533262,6.417801961378089e-05,28,8000
cold,0.05,0.7,1.0,0.22871972479533265,6.439803677560363e-05,22,8000
